Time(yr),V_SMB_0K(km3),V_SMB_3K(km3),V_SMB_4.5K(km3),V_SMB_6K(km3),V_SMB_12K(km3)
0.0833,26146,26146,26145,26145,26144
10.0833,26369,26328,26297,26258,26038
20.0833,26377,26282,26215,26130,25633
30.0833,26382,26238,26136,26005,25099
40.0833,26382,26196,26055,25895,24457
50.0833,26391,26150,25991,25796,23760
60.0833,26395,26118,25935,25695,23046
70.0833,26408,26098,25884,25590,22347
80.0833,26417,26079,25836,25484,21675
90.0833,26425,26063,25787,25374,21020
100.0833,26442,26052,25742,25256,20371
110.0833,26455,26038,25688,25143,19739
120.0833,26476,26026,25645,25025,19140
130.0833,26497,26021,25595,24906,18579
140.0833,26400,26014,25539,24791,18054
150.0833,26425,26002,25498,24681,17563
160.0833,26449,25986,25448,24565,17321
170.0833,26472,25993,25394,24459,16891
180.0833,26502,25988,25347,24354,16487
190.0833,26530,25980,25303,24246,16110
200.0833,26562,25969,25257,24151,15758
210.0833,26594,25974,25212,24054,15425
220.0833,26624,25973,25162,23954,15109
230.0833,26652,25969,25126,23869,14807
240.0833,26679,25963,25086,23775,14520
250.0833,26706,25955,25040,23686,14239
260.0833,26731,25957,25002,23600,13978
270.0833,26767,25964,24966,23514,13724
280.0833,26802,25963,24930,23429,13472
290.0833,26836,25960,24902,23352,13240
300.0833,26870,25955,24868,23274,13011
310.0833,26904,25961,24830,23197,12554
320.0833,26937,25961,24806,23120,12344
330.0833,26970,25959,24778,23060,12132
340.0833,27003,25967,24747,22994,11938
350.0833,27035,25969,24713,22937,11528
360.0833,27068,25980,24691,22878,11343
370.0833,27099,25988,24669,22827,11160
380.0833,27139,25992,24645,22777,10788
390.0833,27174,25993,24618,22915,10620
400.0833,27209,25993,24600,22871,10449
410.0833,27244,25998,24576,22829,10287
420.0833,27278,26012,24556,22784,10124
430.0833,27322,26023,24543,22755,9974
440.0833,27359,26032,24530,22721,9997
450.0833,27395,26040,24513,22693,9854
460.0833,27430,26047,24500,22664,9709
470.0833,27465,26052,24488,22636,9569
480.0833,27499,26055,24472,22612,9434
490.0833,27533,26073,24460,22583,9484
500.0833,27568,26087,24449,22558,9350
